local-authority-discovery	local-authority	uk
HAM-UG	local-authority-eng:HAR	ENG
HRT	local-authority-eng:HFS	ENG
HRW	local-authority-eng:HRW	ENG
HRY	local-authority-eng:HRY	ENG
ESX-UD	local-authority-eng:HST	ENG
CAM-UE	local-authority-eng:HUD	ENG
HAM-UH	local-authority-eng:HVT	ENG
LAN-UG	local-authority-eng:HYB	ENG
IOS	local-authority-eng:IOS	ENG
IOW	local-authority-eng:IOW	ENG
SFK-UD	local-authority-eng:IPB	ENG
ISL	local-authority-eng:ISL	ENG
NTH-UE	local-authority-eng:KEB	ENG
KEC	local-authority-eng:KEC	ENG
KEN	local-authority-eng:KEN	ENG
KHL	local-authority-eng:KHL	ENG
KIR	local-authority-eng:KIR	ENG
KTT	local-authority-eng:KTT	ENG
KWL	local-authority-eng:KWL	ENG
LAN-UH	local-authority-eng:LAC	ENG
LAN	local-authority-eng:LAN	ENG
LBH	local-authority-eng:LBH	ENG
LCE	local-authority-eng:LCE	ENG
LDS	local-authority-eng:LDS	ENG
LEC	local-authority-eng:LEC	ENG
ESX-UF	local-authority-eng:LED	ENG
LEW	local-authority-eng:LEW	ENG
STS-UD	local-authority-eng:LID	ENG
LIN	local-authority-eng:LIN	ENG
LIV	local-authority-eng:LIV	ENG
LND	local-authority-eng:LND	ENG
LUT	local-authority-eng:LUT	ENG
KEN-UH	local-authority-eng:MAB	ENG
WOR-UC	local-authority-eng:MAH	ENG
MAN	local-authority-eng:MAN	ENG
MDB	local-authority-eng:MDB	ENG
ESS-UK	local-authority-eng:MDN	ENG
MDW	local-authority-eng:MDW	ENG
LEC-UG	local-authority-eng:MEB	ENG
SOM-UB	local-authority-eng:MED	ENG
DEV-UD	local-authority-eng:MID	ENG
MIK	local-authority-eng:MIK	ENG
SRY-UE	local-authority-eng:MOV	ENG
MRT	local-authority-eng:MRT	ENG
NTT-UF	local-authority-eng:MSF	ENG
SFK-UE	local-authority-eng:MSK	ENG
WSX-UG	local-authority-eng:MSX	ENG
NBL	local-authority-eng:NBL	ENG
DEV-UE	local-authority-eng:NDE	ENG
DOR-UE	local-authority-eng:NDO	ENG
STS-UE	local-authority-eng:NED	ENG
HAM-UJ	local-authority-eng:NEF	ENG
NEL	local-authority-eng:NEL	ENG
NET	local-authority-eng:NET	ENG
NFK	local-authority-eng:NFK	ENG
NGM	local-authority-eng:NGM	ENG
NLN	local-authority-eng:NLN	ENG
NTH-UF	local-authority-eng:NOB	ENG
NFK-UG	local-authority-eng:NOC	ENG
DBY-UJ	local-authority-eng:NOE	ENG
HRT-UF	local-authority-eng:NOH	ENG
LIN-UE	local-authority-eng:NOK	ENG
NFK-UF	local-authority-eng:NON	ENG
NSM	local-authority-eng:NSM	ENG
NTT-UG	local-authority-eng:NSW	ENG
