ONS	OS
E05004645	7000000000017843
E05004646	7000000000017828
E05004647	7000000000017746
E05004648	7000000000017784
E05004649	7000000000017749
E05004650	7000000000042030
E05004651	7000000000017782
E05007602	7000000000016545
E05007603	7000000000016441
E05007604	7000000000016426
E05007605	7000000000016516
E05007606	7000000000016507
E05007607	7000000000016519
E05007608	7000000000016508
E05007609	7000000000016494
E05007610	7000000000016479
E05007611	7000000000016489
E05007612	7000000000016477
E05007613	7000000000016509
E05007614	7000000000016521
E05007615	7000000000016486
E05007616	7000000000016505
E05007617	7000000000016482
E05007618	7000000000016502
E05007619	7000000000016455
E05007620	7000000000016456
E05007621	7000000000016538
E05007622	7000000000016304
E05007623	7000000000016306
E05007624	7000000000016492
E05007625	7000000000016528
E05007626	7000000000016472
E05007627	7000000000042214
E05007628	7000000000016526
E05007629	7000000000016530
E05007630	7000000000016461
E05004207	7000000000019671
E05004208	7000000000019480
E05004209	7000000000019665
E05004210	7000000000019438
E05004211	7000000000041772
E05004212	7000000000019626
E05004213	7000000000041774
E05004214	7000000000019635
E05004215	7000000000019638
E05004216	7000000000019636
E05004217	7000000000019639
E05004218	7000000000019679
E05004219	7000000000019669
E05004220	7000000000019666
E05004221	7000000000019477
E05004222	7000000000041773
E05004223	7000000000019664
E05004224	7000000000019716
E05004225	7000000000019667
E05003638	7000000000022867
E05003639	7000000000022980
E05003640	7000000000022850
E05003641	7000000000022797
E05003642	7000000000022882
E05003643	7000000000022768
E05003644	7000000000022950
E05003645	7000000000022975
E05003646	7000000000022978
E05003647	7000000000022794
E05003648	7000000000022804
E05003649	7000000000022990
E05003650	7000000000022947
E05003651	7000000000023157
E05003652	7000000000041951
E05003653	7000000000022807
E05003654	7000000000022872
E05003655	7000000000022873
E05003656	7000000000041952
E05003657	7000000000022887
E05003658	7000000000022988
E05003659	7000000000022870
E05001301	7000000000000075
E05001302	7000000000000074
E05001303	7000000000000077
E05001304	7000000000000148
E05001305	7000000000000147
E05001306	7000000000000152
E05001307	7000000000000153
E05001308	7000000000000076
E05001309	7000000000000130
E05001310	7000000000042405
E05001311	7000000000000137
E05001312	7000000000042410
E05001313	7000000000000073
E05001314	7000000000042408
E05001315	7000000000042407
E05001316	7000000000042409
E05001317	7000000000000154
E05001318	7000000000000071
E05001319	7000000000000162
E05001320	7000000000042406
E05009367	7000000000011283
E05009368	7000000000011220
E05009369	7000000000011222
E05009370	7000000000011208
E05009371	7000000000011111
E05009372	7000000000041886
E05009373	7000000000011200
E05009374	7000000000011180
E05009375	7000000000011110
E05009376	7000000000011198
E05009377	7000000000044511
E05009378	7000000000011112
E05009379	7000000000011210
E05009380	7000000000011201
E05009381	7000000000010854
E05009382	7000000000044512
E05009383	7000000000011202
E05009384	7000000000011288
E05009385	7000000000011207
E05009386	7000000000011190
E05009387	7000000000011206
E05005987	7000000000007442
E05005988	7000000000007630
E05005989	7000000000007427
E05005991	7000000000007404
E05005992	7000000000007558
E05005993	7000000000007556
E05005994	7000000000039009
E05005995	7000000000007443
E05005996	7000000000007425
E05005998	7000000000007552
E05005999	7000000000007444
E05006000	7000000000007446
E05006001	7000000000042512
E05006002	7000000000007561
E05006003	7000000000007437
E05008549	7000000000007441
E05008550	7000000000007631
E05004580	7000000000017726
E05004581	7000000000017854
E05004582	7000000000017859
E05004583	7000000000017855
E05004584	7000000000017735
E05004585	7000000000017874
E05004586	7000000000041961
E05004587	7000000000017863
E05004588	7000000000041964
E05004589	7000000000017560
E05004590	7000000000017558
E05004592	7000000000017371
E05004593	7000000000041962
E05004596	7000000000041968
E05004597	7000000000041965
E05004598	7000000000017364
E05004599	7000000000017561
E05004600	7000000000017360
E05004601	7000000000017732
E05004602	7000000000017722
E05004603	7000000000017366
E05004604	7000000000017858
E05004605	7000000000017361
E05004606	7000000000017865
E05004607	7000000000041963
E05004608	7000000000017870
E05004609	7000000000017719
E05004610	7000000000041966
E05004611	7000000000017715
E05004612	7000000000017718
E05004613	7000000000041967
E05008932	7000000000017848
E05008933	7000000000017850
E05008934	7000000000017872
E05008809	7000000000013271
E05008810	7000000000013440
E05008811	7000000000013529
E05008812	7000000000013535
E05008813	7000000000013536
E05008814	7000000000013441
E05008815	7000000000013330
E05008816	7000000000013432
E05008817	7000000000013452
E05008818	7000000000013431
E05008819	7000000000013449
E05008820	7000000000042078
E05008821	7000000000013436
E05008822	7000000000013484
E05008823	7000000000013434
E05004926	7000000000018641
E05004927	7000000000018639
E05004928	7000000000042048
E05004929	7000000000018566
E05004930	7000000000018644
E05004931	7000000000018637
E05004932	7000000000018646
E05004933	7000000000018573
E05004934	7000000000018564
E05004935	7000000000018571
E05004936	7000000000018643
E05004937	7000000000018570
E05004938	7000000000018583
E05004939	7000000000018565
E05004940	7000000000042047
E05004941	7000000000042046
E05004942	7000000000018585
E05001178	7000000000000185
E05001179	7000000000000022
E05001180	7000000000000094
E05001181	7000000000000089
E05001182	7000000000000017
E05001183	7000000000000087
E05001184	7000000000000090
E05001185	7000000000000085
E05001186	7000000000000068
E05001187	7000000000000016
E05001188	7000000000000140
E05001189	7000000000000099
E05001190	7000000000000024
E05001191	7000000000000091
E05001192	7000000000000144
E05001193	7000000000000084
E05001194	7000000000042452
E05001195	7000000000000141
E05001196	7000000000000183
E05001197	7000000000000020
E05001198	7000000000000093
E05001199	7000000000000143
E05001200	7000000000000142
E05001201	7000000000000098
E05001202	7000000000000086
E05001203	7000000000000026
E05001204	7000000000000062
E05001205	7000000000000083
E05001206	7000000000000186
E05001207	7000000000000021
E05001208	7000000000000184
E05001209	7000000000000025
E05001210	7000000000000023
E05001211	7000000000000070
E05001212	7000000000042451
E05001213	7000000000000066
E05001214	7000000000000069
E05001215	7000000000000067
E05001216	7000000000000063
E05001217	7000000000000095
E05001260	7000000000000101
E05001261	7000000000042377
E05001262	7000000000000102
E05001263	7000000000000080
E05001264	7000000000000108
E05001265	7000000000000079
E05001266	7000000000000138
E05001267	7000000000042376
E05001268	7000000000000131
E05001269	7000000000000135
E05001270	7000000000042379
E05001271	7000000000000139
E05001272	7000000000042378
E05001273	7000000000042375
E05001274	7000000000042382
E05001275	7000000000042374
E05001276	7000000000000133
