AreaTypeIdentifier,AreaTypeUri,AreaTypeLabel,AreaTypeDescription,AreaIdentifier,AreaUri,AreaLabel,AreaAltLabels,AreaDescription,AreaColour
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000045,http://id.esd.org.uk/neighbourhood/E07000045,Teignbridge,,,3891f8
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000039,http://id.esd.org.uk/neighbourhood/E07000039,South Derbyshire,,,982ae9
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000051,http://id.esd.org.uk/neighbourhood/E07000051,Purbeck,,,12d1fd
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000068,http://id.esd.org.uk/neighbourhood/E07000068,Brentwood,,,a5611c
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000066,http://id.esd.org.uk/neighbourhood/E07000066,Basildon,,,d61bc7
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000071,http://id.esd.org.uk/neighbourhood/E07000071,Colchester,,,a67fb2
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000065,http://id.esd.org.uk/neighbourhood/E07000065,Wealden,,,86b388
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000074,http://id.esd.org.uk/neighbourhood/E07000074,Maldon,,,6a8bed
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000069,http://id.esd.org.uk/neighbourhood/E07000069,Castle Point,,,4343ea
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000073,http://id.esd.org.uk/neighbourhood/E07000073,Harlow,,,0c45d8
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000062,http://id.esd.org.uk/neighbourhood/E07000062,Hastings,,,b818b4
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000052,http://id.esd.org.uk/neighbourhood/E07000052,West Dorset,,,91a60d
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000053,http://id.esd.org.uk/neighbourhood/E07000053,Weymouth and Portland,,,e24ddd
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000064,http://id.esd.org.uk/neighbourhood/E07000064,Rother,,,9e2ea8
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000063,http://id.esd.org.uk/neighbourhood/E07000063,Lewes,,,7711b7
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000061,http://id.esd.org.uk/neighbourhood/E07000061,Eastbourne,,,972c89
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000072,http://id.esd.org.uk/neighbourhood/E07000072,Epping Forest,,,9464ee
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000070,http://id.esd.org.uk/neighbourhood/E07000070,Chelmsford,,,e36543
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000067,http://id.esd.org.uk/neighbourhood/E07000067,Braintree,,,6d6248
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000087,http://id.esd.org.uk/neighbourhood/E07000087,Fareham,,,575b77
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000077,http://id.esd.org.uk/neighbourhood/E07000077,Uttlesford,,,e1e785
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000076,http://id.esd.org.uk/neighbourhood/E07000076,Tendring,,,e1bf37
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000078,http://id.esd.org.uk/neighbourhood/E07000078,Cheltenham,,,5e5199
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000084,http://id.esd.org.uk/neighbourhood/E07000084,Basingstoke and Deane,,,8dd2ce
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000075,http://id.esd.org.uk/neighbourhood/E07000075,Rochford,,,86085d
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000082,http://id.esd.org.uk/neighbourhood/E07000082,Stroud,,,3b8605
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000079,http://id.esd.org.uk/neighbourhood/E07000079,Cotswold,,,d35fae
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000088,http://id.esd.org.uk/neighbourhood/E07000088,Gosport,,,76b96d
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000086,http://id.esd.org.uk/neighbourhood/E07000086,Eastleigh,,,fd31b0
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000083,http://id.esd.org.uk/neighbourhood/E07000083,Tewkesbury,,,16b0e7
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000081,http://id.esd.org.uk/neighbourhood/E07000081,Gloucester,,,dea398
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000080,http://id.esd.org.uk/neighbourhood/E07000080,Forest of Dean,,,cb4356
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000085,http://id.esd.org.uk/neighbourhood/E07000085,East Hampshire,,,5ad622
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000089,http://id.esd.org.uk/neighbourhood/E07000089,Hart,,,dabd8a
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000103,http://id.esd.org.uk/neighbourhood/E07000103,Watford,,,307977
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000102,http://id.esd.org.uk/neighbourhood/E07000102,Three Rivers,,,b9b308
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000098,http://id.esd.org.uk/neighbourhood/E07000098,Hertsmere,,,3568d8
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000094,http://id.esd.org.uk/neighbourhood/E07000094,Winchester,,,2626f6
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000099,http://id.esd.org.uk/neighbourhood/E07000099,North Hertfordshire,,,a5cab0
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000092,http://id.esd.org.uk/neighbourhood/E07000092,Rushmoor,,,feaeb2
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000090,http://id.esd.org.uk/neighbourhood/E07000090,Havant,,,8a9a66
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000091,http://id.esd.org.uk/neighbourhood/E07000091,New Forest,,,86aa26
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000095,http://id.esd.org.uk/neighbourhood/E07000095,Broxbourne,,,723017
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000106,http://id.esd.org.uk/neighbourhood/E07000106,Canterbury,,,1a9a3a
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000096,http://id.esd.org.uk/neighbourhood/E07000096,Dacorum,,,ef50be
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000105,http://id.esd.org.uk/neighbourhood/E07000105,Ashford,,,1379d4
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000093,http://id.esd.org.uk/neighbourhood/E07000093,Test Valley,,,c0e934
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000107,http://id.esd.org.uk/neighbourhood/E07000107,Dartford,,,c58699
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000117,http://id.esd.org.uk/neighbourhood/E07000117,Burnley,,,71f587
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000121,http://id.esd.org.uk/neighbourhood/E07000121,Lancaster,,,ab8ad8
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000109,http://id.esd.org.uk/neighbourhood/E07000109,Gravesham,,,857c77
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000111,http://id.esd.org.uk/neighbourhood/E07000111,Sevenoaks,,,b899b3
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000110,http://id.esd.org.uk/neighbourhood/E07000110,Maidstone,,,c421b7
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000120,http://id.esd.org.uk/neighbourhood/E07000120,Hyndburn,,,51e0dc
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000119,http://id.esd.org.uk/neighbourhood/E07000119,Fylde,,,479c17
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000108,http://id.esd.org.uk/neighbourhood/E07000108,Dover,,,de7cd2
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000118,http://id.esd.org.uk/neighbourhood/E07000118,Chorley,,,77c473
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000113,http://id.esd.org.uk/neighbourhood/E07000113,Swale,,,9e386b
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000114,http://id.esd.org.uk/neighbourhood/E07000114,Thanet,,,361a2e
