Local_Authority_Name	OpenDataCommunitiesURI	ONS_Code	DCLGbillingAuthorityCode	LA_Type_Label	Authority_Type
Sefton	http://opendatacommunities.org/id/metropolitan-district-council/sefton	E08000014	E4304	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Selby	http://opendatacommunities.org/id/district-council/selby	E07000169	E2757	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Sevenoaks	http://opendatacommunities.org/id/district-council/sevenoaks	E07000111	E2239	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Sheffield	http://opendatacommunities.org/id/metropolitan-district-council/sheffield	E08000019	E4404	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Shepway	http://opendatacommunities.org/id/district-council/shepway	E07000112	E2240	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Shropshire	http://opendatacommunities.org/id/unitary-authority/shropshire	E06000051	E3202	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Shropshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/shropshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Slough	http://opendatacommunities.org/id/unitary-authority/slough	E06000039	E0304	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Solihull	http://opendatacommunities.org/id/metropolitan-district-council/solihull	E08000029	E4605	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Somerset	http://opendatacommunities.org/id/county-council/somerset	E10000027	E3320	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
South Bucks	http://opendatacommunities.org/id/district-council/south-bucks	E07000006	E0434	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Cambridgeshire	http://opendatacommunities.org/id/district-council/south-cambridgeshire	E07000012	E0536	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Derbyshire	http://opendatacommunities.org/id/district-council/south-derbyshire	E07000039	E1039	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Downs National Park	http://opendatacommunities.org/id/national-park-authority/south-downs			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
South Gloucestershire	http://opendatacommunities.org/id/unitary-authority/south-gloucestershire	E06000025	E0103	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
South Hams	http://opendatacommunities.org/id/district-council/south-hams	E07000044	E1136	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Holland	http://opendatacommunities.org/id/district-council/south-holland	E07000140	E2535	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Kesteven	http://opendatacommunities.org/id/district-council/south-kesteven	E07000141	E2536	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Lakeland	http://opendatacommunities.org/id/district-council/south-lakeland	E07000031	E0936	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Norfolk	http://opendatacommunities.org/id/district-council/south-norfolk	E07000149	E2637	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Northamptonshire	http://opendatacommunities.org/id/district-council/south-northamptonshire	E07000155	E2836	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Oxfordshire	http://opendatacommunities.org/id/district-council/south-oxfordshire	E07000179	E3133	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Ribble	http://opendatacommunities.org/id/district-council/south-ribble	E07000126	E2342	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Somerset	http://opendatacommunities.org/id/district-council/south-somerset	E07000189	E3334	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
