local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
HRT-UB	ENG		HRT			Borough of Broxbourne	http://www.broxbourne.gov.uk			26UB
HRT-UE	ENG		HRT			Hertsmere Borough Council	http://www.hertsmere.gov.uk			26UE
HRT-UF	ENG		HRT			North Hertfordshire District Council	http://www.north-herts.gov.uk			26UF
HRT-UG	ENG		HRT			St Albans City and District Council	http://www.stalbans.gov.uk			26UG
HRT-UD	ENG		HRT			East Hertfordshire District Council	http://www.eastherts.gov.uk			26UD
HRT-UH	ENG		HRT			Stevenage Borough Council	http://www.stevenage.gov.uk			26UH
HRT-UJ	ENG		HRT			Three Rivers District Council	http://www.threerivers.gov.uk			26UJ
KEN-UB	ENG		KEN			Ashford Borough Council	http://www.ashford.gov.uk			29UB
KEN-UN	ENG		KEN			Thanet District Council	http://thanet.gov.uk			29UN
KEN-UC	ENG		KEN			Canterbury City Council	https://www.canterbury.gov.uk			29UC
KEN-UD	ENG		KEN			Dartford Borough Council	http://www.dartford.gov.uk			29UD
KEN-UH	ENG		KEN			Maidstone Borough Council	http://www.maidstone.gov.uk			29UH
KEN	ENG	CTY	KEN	Kent		Kent County Council	http://www.kent.gov.uk			29
KEN-UE	ENG		KEN			Dover District Council	http://www.dover.gov.uk			29UE
KEN-UK	ENG		KEN			Sevenoaks District Council	http://www.sevenoaks.gov.uk			29UK
KEN-UP	ENG		KEN			Tonbridge and Malling Borough Council	http://www.tmbc.gov.uk			29UP
KEN-UQ	ENG		KEN			Tunbridge Wells Borough Council	http://www.tunbridgewells.gov.uk			29UQ
KEN-UM	ENG		KEN			Swale Borough Council	http://www.swale.gov.uk			29UM
KEN-UL	ENG		KEN			Shepway District Council	http://www.shepway.gov.uk			29UL
KEN-UG	ENG		KEN			Gravesham Borough Council	http://www.gravesham.gov.uk			29UG
LAN-UN	ENG		LAN			South Ribble Borough Council	http://www.southribble.gov.uk			30UN
LAN-UG	ENG		LAN			Hyndburn Borough Council	http://www.hyndburnbc.gov.uk			30UG
