NAME,AREA_CODE,DESCRIPTIO,FILE_NAME,NUMBER,NUMBER0,POLYGON_ID,UNIT_ID,CODE,HECTARES,AREA,TYPE_CODE,DESCRIPT0,TYPE_COD0,DESCRIPT1
Ashfield District,DIS,District,NOTTINGHAMSHIRE_COUNTY,8,709,48973,7969,E07000170,10955.792,0.000,AA,CIVIL ADMINISTRATION AREA,,
Newark and Sherwood District,DIS,District,NOTTINGHAMSHIRE_COUNTY,16,818,48834,8100,E07000175,65183.548,49.489,AA,CIVIL ADMINISTRATION AREA,,
Broxtowe District (B),DIS,District,NOTTINGHAMSHIRE_COUNTY,26,853,49001,7997,E07000172,8009.880,0.000,AA,CIVIL ADMINISTRATION AREA,,
Mansfield District,DIS,District,NOTTINGHAMSHIRE_COUNTY,60,905,48816,8167,E07000174,7669.688,0.000,AA,CIVIL ADMINISTRATION AREA,,
Vale of White Horse District,DIS,District,OXFORDSHIRE_COUNTY,11,595,49373,8439,E07000180,57864.468,0.000,AA,CIVIL ADMINISTRATION AREA,,
South Oxfordshire District,DIS,District,OXFORDSHIRE_COUNTY,13,705,49545,8253,E07000179,67853.708,0.000,AA,CIVIL ADMINISTRATION AREA,,
Cherwell District,DIS,District,OXFORDSHIRE_COUNTY,24,807,49324,8504,E07000177,58874.116,0.000,AA,CIVIL ADMINISTRATION AREA,,
West Oxfordshire District,DIS,District,OXFORDSHIRE_COUNTY,29,919,70669,8571,E07000181,71442.184,0.000,AA,CIVIL ADMINISTRATION AREA,,
Oxford District (B),DIS,District,OXFORDSHIRE_COUNTY,80,959,49382,8448,E07000178,4560.289,0.000,AA,CIVIL ADMINISTRATION AREA,,
West Somerset District,DIS,District,SOMERSET_COUNTY,2,585,62049,10687,E07000191,74704.965,2015.210,AA,CIVIL ADMINISTRATION AREA,,
Mendip District,DIS,District,SOMERSET_COUNTY,3,683,61856,43462,E07000187,73943.545,0.000,AA,CIVIL ADMINISTRATION AREA,,
Taunton Deane District (B),DIS,District,SOMERSET_COUNTY,6,762,61826,10370,E07000190,46250.304,13.583,AA,CIVIL ADMINISTRATION AREA,,
South Somerset District,DIS,District,SOMERSET_COUNTY,9,925,61840,10495,E07000189,95905.811,1.790,AA,CIVIL ADMINISTRATION AREA,,
Sedgemoor District,DIS,District,SOMERSET_COUNTY,12,1005,61964,10575,E07000188,60587.400,4151.555,AA,CIVIL ADMINISTRATION AREA,,
Staffordshire Moorlands District,DIS,District,STAFFORDSHIRE_COUNTY,2,497,123939,15068,E07000198,57584.983,0.000,AA,CIVIL ADMINISTRATION AREA,,
South Staffordshire District,DIS,District,STAFFORDSHIRE_COUNTY,4,553,120376,14855,E07000196,40732.224,0.000,AA,CIVIL ADMINISTRATION AREA,,
Lichfield District,DIS,District,STAFFORDSHIRE_COUNTY,6,605,54987,14797,E07000194,33129.448,0.000,AA,CIVIL ADMINISTRATION AREA,,
Newcastle-under-Lyme District (B),DIS,District,STAFFORDSHIRE_COUNTY,13,645,55064,15178,E07000195,21095.733,0.000,AA,CIVIL ADMINISTRATION AREA,,
Stafford District (B),DIS,District,STAFFORDSHIRE_COUNTY,22,710,54819,14892,E07000197,59817.223,0.000,AA,CIVIL ADMINISTRATION AREA,,
East Staffordshire District (B),DIS,District,STAFFORDSHIRE_COUNTY,25,772,124961,15064,E07000193,38998.502,0.000,AA,CIVIL ADMINISTRATION AREA,,
Cannock Chase District,DIS,District,STAFFORDSHIRE_COUNTY,45,802,70783,14869,E07000192,7888.258,0.000,AA,CIVIL ADMINISTRATION AREA,,
Tamworth District (B),DIS,District,STAFFORDSHIRE_COUNTY,183,835,55003,14727,E07000199,3085.073,0.000,AA,CIVIL ADMINISTRATION AREA,,
Waveney District,DIS,District,SUFFOLK_COUNTY,1,784,55331,15440,E07000206,37478.634,465.466,AA,CIVIL ADMINISTRATION AREA,,
Babergh District,DIS,District,SUFFOLK_COUNTY,5,891,55585,15692,E07000200,61204.129,1682.600,AA,CIVIL ADMINISTRATION AREA,,
Suffolk Coastal District,DIS,District,SUFFOLK_COUNTY,9,1038,55401,15508,E07000205,92070.049,2897.076,AA,CIVIL ADMINISTRATION AREA,,
St. Edmundsbury District (B),DIS,District,SUFFOLK_COUNTY,10,1150,55540,15647,E07000204,65696.502,0.000,AA,CIVIL ADMINISTRATION AREA,,
Forest Heath District,DIS,District,SUFFOLK_COUNTY,12,1188,55762,15867,E07000201,37771.094,0.000,AA,CIVIL ADMINISTRATION AREA,,
Mid Suffolk District,DIS,District,SUFFOLK_COUNTY,20,1346,55567,15674,E07000203,87107.070,0.000,AA,CIVIL ADMINISTRATION AREA,,
Ipswich District (B),DIS,District,SUFFOLK_COUNTY,44,1371,55204,15314,E07000202,4030.023,77.678,AA,CIVIL ADMINISTRATION AREA,,
Waverley District (B),DIS,District,SURREY_COUNTY,5,423,53333,14119,E07000216,34517.026,0.000,AA,CIVIL ADMINISTRATION AREA,,
Tandridge District,DIS,District,SURREY_COUNTY,14,469,122256,13870,E07000215,24819.463,0.000,AA,CIVIL ADMINISTRATION AREA,,
Woking District (B),DIS,District,SURREY_COUNTY,17,482,53249,14192,E07000217,6360.361,0.000,AA,CIVIL ADMINISTRATION AREA,,
Surrey Heath District (B),DIS,District,SURREY_COUNTY,18,506,53365,14064,E07000214,9509.303,0.000,AA,CIVIL ADMINISTRATION AREA,,
Runnymede District (B),DIS,District,SURREY_COUNTY,22,524,53361,14060,E07000212,7804.068,0.000,AA,CIVIL ADMINISTRATION AREA,,
Guildford District (B),DIS,District,SURREY_COUNTY,26,573,53390,14002,E07000209,27093.113,0.000,AA,CIVIL ADMINISTRATION AREA,,
